Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Philosophie, Epistémologie;4;3.0;2
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Physique;15;11.0;3
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Lettres - Langues - Sciences humaines;0;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Licence Pluri Sciences fondamentales et applications;1;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;BTS agricole;2;0.0;0
Numérique et Sciences Informatiques,Sciences de l'ingénieur;CPGE S;30;6.0;2
Numérique et Sciences Informatiques,Sciences de l'ingénieur;D.E social;1;1.0;1
Numérique et Sciences Informatiques,Sciences de l'ingénieur;Ensemble des candidats bacheliers;422;382.0;319
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Informatique;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Langues et littératures françaises;1;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Langues et littératures étrangères;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence MASS;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Mathématiques et informatique;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Philosophie, Epistémologie;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Psychlogie, Sciences cognitives;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence STAPS;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences du langage - Linguistique;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Licence Sciences juridiques;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Sciences Po;0;0.0;0
Physique-Chimie,Littératures, langues et culture de l'antiquité;Ensemble des candidats bacheliers;3;3.0;2
Physique-Chimie,Sciences économiques et sociales;Licence Arts;46;27.0;12
Physique-Chimie,Sciences économiques et sociales;Licence Langues et littératures françaises;8;6.0;1
Physique-Chimie,Sciences économiques et sociales;Licence Pluri Sciences;17;9.0;1
Physique-Chimie,Sciences économiques et sociales;Licence STAPS;156;83.0;44
Physique-Chimie,Sciences économiques et sociales;Licence Sociologie, Démographie;130;113.0;18
Physique-Chimie,Sciences économiques et sociales;Licence Las;199;84.0;21
Physique-Chimie,Sciences économiques et sociales;PASS;83;23.0;7
Physique-Chimie,Sciences économiques et sociales;BUT Production;163;64.0;31
Physique-Chimie,Sciences économiques et sociales;D.E social;10;1.0;1
Physique-Chimie,Sciences économiques et sociales;D.E sanitaire;67;28.0;25
Physique-Chimie,Sciences économiques et sociales;CUPGE;8;2.0;1
Physique-Chimie,Sciences économiques et sociales;DCG;41;22.0;10
Physique-Chimie,Sciences de la vie et de la terre;Licence Génie civil;82;49.0;6
Physique-Chimie,Sciences de la vie et de la terre;Licence Langues et littératures françaises;437;375.0;53
Physique-Chimie,Sciences de la vie et de la terre;Licence Mécanique, Génie mécanique, Ingénierie mécanique;47;30.0;1
Physique-Chimie,Sciences de la vie et de la terre;Licence Physique;1710;1047.0;100
Physique-Chimie,Sciences de la vie et de la terre;Licence Pluri Lettres - Sciences du langage - Arts;46;38.0;5
Physique-Chimie,Sciences de la vie et de la terre;Licence Pluri Sciences humaines et sociales;149;61.0;3
Physique-Chimie,Sciences de la vie et de la terre;Licence Sciences de gestion;408;188.0;49
Physique-Chimie,Sciences de la vie et de la terre;Licence Sciences de l'univers, de la terre, de l'espace;2803;1966.0;242
Physique-Chimie,Sciences de la vie et de la terre;Licence Sciences juridiques;4282;3620.0;954
Physique-Chimie,Sciences de la vie et de la terre;Licence Sciences religieuses;1;1.0;0
Physique-Chimie,Sciences de la vie et de la terre;Licence Sociologie, Démographie;848;720.0;78
Physique-Chimie,Sciences de la vie et de la terre;CPGE L;330;223.0;85
Physique-Chimie,Sciences de la vie et de la terre;D.E social;164;45.0;33
Physique-Chimie,Sciences de la vie et de la terre;DCG;330;207.0;41
Physique-Chimie,Sciences de l'ingénieur;Licence Génie civil;15;10.0;5
Physique-Chimie,Sciences de l'ingénieur;Licence Géographie;10;9.0;4
Physique-Chimie,Sciences de l'ingénieur;Licence Histoire;36;34.0;8
Physique-Chimie,Sciences de l'ingénieur;Licence LEA;30;21.0;8
Physique-Chimie,Sciences de l'ingénieur;Licence MASS;4;3.0;1
Physique-Chimie,Sciences de l'ingénieur;Licence Mécanique, Génie mécanique, Ingénierie mécanique;23;15.0;1
Physique-Chimie,Sciences de l'ingénieur;Licence Philosophie, Epistémologie;3;0.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Physique;83;44.0;9
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Langues;2;1.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Lettres - Langues - Sciences humaines;3;3.0;1
Physique-Chimie,Sciences de l'ingénieur;Licence Pluri Lettres - Sciences du langage - Arts;3;2.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences de l'univers, de la terre, de l'espace;5;4.0;1
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences du langage - Linguistique;1;1.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Sciences politiques;3;1.0;0
Physique-Chimie,Sciences de l'ingénieur;Licence Sociologie, Démographie;7;7.0;2
Physique-Chimie,Sciences de l'ingénieur;Licence Las;83;20.0;4
Physique-Chimie,Sciences de l'ingénieur;BUT Production;374;250.0;159
Physique-Chimie,Sciences de l'ingénieur;CPGE S;100;36.0;19
Physique-Chimie,Sciences de l'ingénieur;D.E sanitaire;8;1.0;1
Physique-Chimie,Sciences de l'ingénieur;Autres formations;110;29.0;13
Physique-Chimie,Sciences de l'ingénieur;DCG;4;1.0;1
Physique-Chimie,Sciences de l'ingénieur;Formations des écoles nationales vétérinaires;1;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Formation générale aux métiers de l'ingénieur;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence MASS;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Mathématiques;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Psychlogie, Sciences cognitives;7;2.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences de l'éducation;3;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences de la vie, biologie, santé;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Licence Sciences juridiques;6;3.0;3
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;BTS agricole;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;CUPGE;0;0.0;0
Sciences économiques et sociales,Littératures, langues et culture de l'antiquité;Sciences Po;0;0.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Arts;267;156.0;56
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Histoire;476;398.0;63
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Mathématiques et informatique;0;0.0;0
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Philosophie, Epistémologie;109;75.0;2
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Sciences de l'éducation;932;512.0;173
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Sciences juridiques;2037;1610.0;592
Sciences économiques et sociales,Sciences de la vie et de la terre;Licence Sociologie, Démographie;1666;1404.0;245
Sciences économiques et sociales,Sciences de la vie et de la terre;BUT Service;3105;1054.0;440
Sciences économiques et sociales,Sciences de la vie et de la terre;BTS agricole;375;260.0;120
Sciences économiques et sociales,Sciences de la vie et de la terre;BTS production;452;155.0;50
Sciences économiques et sociales,Sciences de la vie et de la terre;D.E sanitaire;2333;1074.0;819
Sciences économiques et sociales,Sciences de la vie et de la terre;Formations des écoles nationales vétérinaires;65;1.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Mathématiques;3;1.0;1
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Mathématiques et informatique;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Philosophie, Epistémologie;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Sciences juridiques;15;8.0;5
Sciences économiques et sociales,Sciences de l'ingénieur;Licence Sciences religieuses;0;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;BUT Service;45;21.0;6
Sciences économiques et sociales,Sciences de l'ingénieur;CUPGE;1;0.0;0
Sciences économiques et sociales,Sciences de l'ingénieur;DCG;6;1.0;1
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence LEA;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence MASS;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Lettres - Langues - Sciences humaines;1;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Pluri Sciences économiques - Gestion;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences de l'information et de la communication;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Licence Sciences du langage - Linguistique;1;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;BTS service;3;1.0;1
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;CPGE L;1;1.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Ecoles d'Ingénieurs;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;D.E sanitaire;6;2.0;2
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Formations d'ART;2;1.0;1
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;CUPGE;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;DEUST;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Sciences Po;0;0.0;0
Sciences de la vie et de la terre,Littératures, langues et culture de l'antiquité;Formations des écoles nationales vétérinaires;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Génie civil;3;3.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence MASS;1;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Mathématiques;2;1.0;1
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Mécanique, Génie mécanique, Ingénierie mécanique;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Philosophie, Epistémologie;0;0.0;0
Sciences de l'ingénieur,Sciences de la vie et de la terre;Licence Pluri Droit - Sciences éco - AES;0;0.0;0
